Agent Name,Wins,Losses,Performance
Generation:,2,Num Of Bots,76,PlatVal,0.006877288413496821
SZXT,121,125,0,Weights:,0.055,0.025,-0.035,0.055,0.068,-0.023,0.188,0.116,0.804,-0.531,-0.374,0.402,-0.15,0.171
EPTV,124,122,0,Weights:,0.031,0.001,-0.029,0.036,0.06,0.0,0.181,0.094,0.807,-0.511,-0.376,0.402,-0.172,0.164
OLPO,84,162,0,Weights:,0.031,0.006,-0.01,0.03,0.076,-0.005,0.183,0.162,0.818,-0.516,-0.376,0.4,-0.173,0.174
WYYE,138,108,0,Weights:,-0.006,0.022,-0.023,0.038,0.041,0.004,0.174,0.136,0.831,-0.511,-0.377,0.385,-0.179,0.162
VPKT,116,130,0,Weights:,0.052,0.017,-0.014,0.058,0.067,0.002,0.19,0.095,0.822,-0.541,-0.385,0.384,-0.17,0.184
FTUL,109,137,0,Weights:,0.07,0.003,-0.025,0.056,0.049,-0.027,0.178,0.1,0.81,-0.532,-0.376,0.404,-0.147,0.15
ATHQ,141,105,0,Weights:,0.02,0.009,-0.048,0.002,0.054,0.0,0.172,0.124,0.808,-0.529,-0.384,0.391,-0.152,0.139
Rais,4,242,0,Weights:,0.3,0,0,0,0,0,0,0,-0.9,-0.8,0.1,0.3,0,0
KCXK,116,130,0,Weights:,0.011,0.026,-0.047,0.002,0.071,-0.009,0.187,0.142,0.816,-0.507,-0.381,0.406,-0.177,0.161
XVVW,144,102,0,Weights:,0.042,0.0,-0.012,0.05,0.057,0.003,0.189,0.129,0.809,-0.532,-0.386,0.398,-0.172,0.144
UDMD,81,165,0,Weights:,0.045,0.015,-0.027,0.051,0.053,-0.016,0.179,0.159,0.81,-0.543,-0.377,0.389,-0.183,0.187
TNBC,125,121,0,Weights:,0.042,0.0,-0.02,0.005,0.055,-0.005,0.19,0.103,0.811,-0.497,-0.391,0.411,-0.151,0.143
KIKU,132,114,0,Weights:,0.036,0.006,-0.046,0.016,0.058,-0.005,0.179,0.137,0.825,-0.517,-0.381,0.405,-0.179,0.185
YDCE,115,131,0,Weights:,0.018,0.018,-0.035,0.04,0.054,0.001,0.171,0.101,0.818,-0.532,-0.376,0.386,-0.161,0.183
SKTV,146,100,0,Weights:,0.071,0.012,-0.018,0.063,0.037,-0.021,0.185,0.117,0.829,-0.501,-0.384,0.409,-0.165,0.184
XJNI,132,114,0,Weights:,-0.008,0.021,-0.05,0.032,0.061,-0.003,0.179,0.126,0.828,-0.538,-0.391,0.39,-0.154,0.167
SMXU,121,125,0,Weights:,0.082,0.033,-0.036,0.018,0.08,-0.012,0.193,0.146,0.83,-0.519,-0.373,0.407,-0.156,0.151
WKSH,170,76,0,Weights:,0.069,0.015,-0.049,0.056,0.076,-0.027,0.173,0.136,0.821,-0.526,-0.39,0.399,-0.154,0.145
HRSO,121,125,0,Weights:,0.002,0.026,-0.019,0.048,0.038,-0.014,0.186,0.111,0.826,-0.526,-0.376,0.408,-0.184,0.148
JQGC,168,78,0,Weights:,0.0,0.025,-0.035,0.007,0.074,-0.027,0.175,0.163,0.822,-0.539,-0.389,0.39,-0.148,0.135
EUZO,169,77,0,Weights:,-0.012,0.011,-0.022,0.034,0.079,-0.018,0.187,0.151,0.811,-0.51,-0.39,0.383,-0.165,0.143
NYIB,93,153,0,Weights:,0.06,0.001,-0.023,0.032,0.077,-0.009,0.191,0.096,0.815,-0.548,-0.37,0.383,-0.164,0.184
TSHJ,176,70,0,Weights:,0.029,0.02,-0.008,0.049,0.078,-0.011,0.189,0.11,0.816,-0.499,-0.385,0.404,-0.148,0.144
RWSW,145,101,0,Weights:,0.054,0.03,-0.031,0.035,0.066,-0.002,0.182,0.132,0.824,-0.509,-0.38,0.398,-0.159,0.148
HCSF,114,132,0,Weights:,0.008,0.011,-0.021,0.04,0.079,-0.017,0.192,0.159,0.824,-0.542,-0.373,0.39,-0.18,0.16
KCVQ,107,139,0,Weights:,0.03,0.001,-0.042,0.018,0.072,-0.025,0.179,0.131,0.826,-0.512,-0.386,0.396,-0.151,0.149
GYKB,74,172,0,Weights:,0.07,0.001,-0.015,0.039,0.045,0.004,0.193,0.163,0.81,-0.516,-0.387,0.407,-0.182,0.181
BGYZ,121,125,0,Weights:,0.021,0.013,-0.046,0.024,0.08,-0.004,0.177,0.138,0.806,-0.496,-0.379,0.408,-0.147,0.148
CFYK,139,107,0,Weights:,0.007,0.004,-0.032,0.057,0.042,0.001,0.187,0.147,0.828,-0.516,-0.37,0.409,-0.175,0.165
MVHC,128,118,0,Weights:,0.024,0.01,-0.019,0.013,0.041,0.003,0.186,0.094,0.804,-0.522,-0.384,0.403,-0.149,0.191
UTGM,104,142,0,Weights:,0.009,0.016,-0.05,0.004,0.049,-0.018,0.173,0.095,0.822,-0.5,-0.373,0.404,-0.172,0.167
