Generation,Winner STDDev
2,0.458577208051
3,0.399307858657
4,0.362204960042
5,0.284352391644
6,0.299680242249
7,0.196748629529
8,0.167457329509
9,0.118202836613
10,0.0758086584919
11,0.0629439605336
12,0.0510781793485
13,0.0452616714874
14,0.0634800336636
15,0.0721886832676
16,0.0904598369871
17,0.128858106512
18,0.222902906214
19,0.207820480924
20,0.0286594310684
21,0.0288476148059
22,0.0316507369821
23,0.0302520455009
24,0.0338170443124
25,0.0465988934153
26,0.0595827558932
27,0.0696219204271
28,0.0797939337573
29,0.0823489717723
30,0.0801758774848
31,0.0787260498011
32,0.0692290905691
33,0.0420403951956
34,0.0475072021302
35,0.0596877302152
