Agent Name,Wins,Losses,Performance
Generation:,1,Num Of Bots,256,PlatVal,1
XNWK,255,255,0.0,Weights:,0.779,0.893,0.107,-0.666,0.353,-0.637,0.154,0.338,0.175,0.058,-0.852,-0.05,0.564,-0.34,0.513,0.533,0.783,0.399,-0.44,-0.742,-0.607,0.776,0.257,0.109,0.616,-0.071,0.076,-0.614,0.001,0.087,0.313,0.244,0.351,0.898,0.377,-0.146,-0.159,0.35,-0.705,0.401,-0.594,0.228,0.16,-0.727,0.542,0.581,0.351,-0.898,0.101,0.069
TQFD,255,255,0.0,Weights:,-0.59,0.741,0.439,-0.423,0.397,0.428,0.564,0.287,-0.312,-0.042,-0.431,0.358,-0.886,0.316,0.156,0.027,0.428,0.009,-0.686,0.409,-0.657,0.16,-0.229,0.066,0.286,-0.308,0.349,0.506,0.671,-0.838,-0.729,0.283,-0.093,0.666,0.844,-0.218,0.399,-0.558,-0.473,0.429,-0.213,0.669,0.383,-0.581,-0.66,-0.726,-0.534,0.792,0.488,-0.153
FEGF,255,255,0.0,Weights:,-0.073,-0.086,0.453,0.642,-0.415,0.007,0.332,-0.873,0.796,0.7,0.211,-0.668,0.016,0.068,0.219,0.025,-0.26,0.887,-0.529,-0.009,-0.673,-0.389,-0.294,-0.107,0.579,-0.649,-0.255,0.204,0.027,-0.329,0.399,0.639,-0.656,0.537,0.508,0.256,0.757,-0.781,0.403,-0.743,0.052,-0.782,0.619,-0.476,0.519,-0.849,0.665,0.332,-0.825,0.331
WEFS,255,255,0.0,Weights:,0.61,-0.61,-0.614,0.317,-0.838,0.713,-0.067,-0.597,-0.649,0.145,-0.664,-0.39,-0.495,0.519,-0.259,0.047,-0.31,-0.366,0.093,0.695,0.838,0.064,0.108,-0.352,-0.423,0.207,0.546,0.646,0.805,0.655,-0.264,-0.126,-0.021,0.064,-0.646,0.181,0.695,-0.555,0.893,-0.344,0.392,-0.358,-0.518,0.88,0.48,-0.151,-0.361,-0.311,0.675,-0.803
TXAE,255,255,0.0,Weights:,0.683,0.498,0.342,0.373,-0.489,0.07,0.147,0.898,0.32,-0.053,-0.394,-0.311,-0.35,-0.425,0.784,-0.724,-0.317,0.231,-0.337,-0.893,-0.333,-0.725,-0.27,-0.338,-0.344,0.825,0.13,0.395,-0.724,0.195,-0.66,-0.808,-0.454,-0.641,-0.076,0.655,0.306,0.531,0.652,0.083,0.849,0.169,-0.197,0.784,0.167,0.681,0.347,-0.77,-0.425,-0.291
JEWW,255,255,0.0,Weights:,0.245,-0.006,-0.174,-0.113,0.361,-0.667,-0.04,0.372,-0.361,-0.842,0.307,-0.058,0.29,0.811,0.41,0.016,-0.858,0.478,0.689,-0.651,0.099,-0.177,-0.791,-0.872,-0.75,-0.297,-0.355,0.05,0.444,-0.131,0.071,0.825,-0.75,0.504,-0.315,0.818,-0.483,-0.196,-0.148,-0.372,0.472,-0.758,-0.244,0.316,0.733,-0.467,0.407,-0.761,0.031,-0.329
UQKH,255,255,0.0,Weights:,-0.679,-0.212,-0.366,-0.462,0.567,-0.759,-0.216,0.771,0.708,-0.028,-0.044,-0.169,-0.392,0.86,0.763,0.454,0.193,-0.552,-0.429,0.739,-0.373,-0.075,-0.145,-0.024,-0.51,-0.411,-0.139,0.238,0.221,-0.024,0.068,-0.31,0.104,-0.105,0.403,-0.81,0.024,-0.324,-0.464,-0.822,-0.207,0.187,0.73,-0.698,-0.361,-0.457,-0.293,-0.484,-0.486,-0.497
OSKA,255,255,0.0,Weights:,-0.591,0.115,-0.414,0.071,0.162,0.539,-0.599,-0.03,-0.402,-0.168,0.246,0.297,-0.25,-0.136,-0.825,0.224,0.846,-0.049,-0.638,0.411,-0.487,0.414,-0.549,0.252,0.608,-0.227,0.508,0.643,-0.66,-0.589,-0.044,-0.748,0.877,0.353,-0.823,0.271,0.54,-0.563,-0.548,-0.036,-0.361,0.867,0.768,-0.641,0.874,0.756,0.762,0.394,0.133,-0.412
DNDU,255,255,0.0,Weights:,0.731,0.721,0.571,0.671,-0.88,0.691,-0.335,-0.517,0.35,-0.305,-0.187,-0.637,-0.53,0.845,-0.459,0.032,-0.129,0.232,0.44,0.436,-0.004,-0.339,-0.225,-0.763,-0.142,-0.549,0.613,-0.648,-0.565,0.733,0.642,0.373,-0.08,-0.103,0.468,0.816,-0.613,0.612,0.694,0.846,0.154,-0.663,-0.205,-0.192,-0.588,-0.582,0.387,0.317,-0.828,0.33
SMYS,255,255,0.0,Weights:,0.391,0.581,0.528,0.685,0.804,-0.462,0.45,0.516,0.143,0.844,-0.446,0.706,0.815,0.561,-0.264,0.81,0.63,0.146,0.538,0.298,-0.877,-0.82,0.551,-0.604,0.203,-0.095,-0.053,-0.846,0.402,0.636,0.415,0.409,0.83,0.878,-0.829,0.763,0.235,-0.728,0.373,0.231,0.175,0.492,-0.623,0.836,-0.822,0.176,0.343,-0.141,-0.394,0.35
