,CMA2TP1,CMA2TP2,CMA2TP3,Pr2de,Hybrid,TeamBest,TeamLambda,WXMG3d,LiOMegaPlay,WrthGr3d,Call9996,Ascendant,RNGenius,Fusion2,Fusion1,Team123,Wrth-LTXW2,Wrth-LTXW1,Minmax4,Gr33Dy,WrathMega,Minmax3,MegaWrath,WXPr,CallTG26,LI0N,Dominator,ZOVN,4Team3
CMA2TP1,"[0, 0]","[16964, 13036]","[14188, 15812]","[29981, 0]","[29890, 91]","[1129, 28845]","[4299, 25673]","[21218, 8755]","[5232, 24741]","[29758, 219]","[4307, 25664]","[26738, 3238]","[30000, 0]","[19518, 10456]","[26706, 3267]","[2340, 27627]","[12890, 17079]","[16483, 13487]","[5648, 24323]","[0, 29979]","[20537, 9435]","[5507, 24465]","[17311, 12664]","[24659, 5314]","[102, 29872]","[25487, 4487]","[24141, 5831]","[24935, 5037]","[17210, 12766]"
CMA2TP2,"[13036, 16964]","[0, 0]","[15848, 14152]","[29983, 0]","[29408, 570]","[1121, 28854]","[5781, 24192]","[19497, 10476]","[6535, 23436]","[29928, 54]","[4275, 25698]","[27156, 2819]","[30000, 0]","[18066, 11907]","[26309, 3663]","[2400, 27575]","[12571, 17401]","[15514, 14458]","[5709, 24262]","[0, 29975]","[17799, 12176]","[5232, 24743]","[15388, 14586]","[23718, 6259]","[13, 29961]","[25913, 4061]","[23973, 5996]","[26405, 3569]","[16447, 13525]"
CMA2TP3,"[15812, 14188]","[14152, 15848]","[0, 0]","[29980, 0]","[29914, 66]","[2430, 27543]","[3504, 26473]","[19383, 10590]","[6042, 23927]","[29924, 58]","[4017, 25956]","[25875, 4102]","[30000, 0]","[20344, 9629]","[26341, 3635]","[1157, 28815]","[14733, 15240]","[15759, 14212]","[5028, 24945]","[0, 29981]","[20803, 9175]","[5426, 24542]","[17182, 12790]","[22515, 7454]","[0, 29976]","[25801, 4173]","[24917, 5057]","[26402, 3576]","[16267, 13701]"
Pr2de,"[0, 29981]","[0, 29983]","[0, 29980]","[0, 0]","[14932, 15043]","[16818, 13154]","[15499, 14479]","[14497, 15479]","[16811, 13161]","[20553, 9422]","[12710, 17265]","[20845, 9130]","[30000, 0]","[15682, 14294]","[14531, 15440]","[16667, 13307]","[14212, 15762]","[12468, 17514]","[14237, 15740]","[21411, 8565]","[14980, 14993]","[14731, 15242]","[15002, 14972]","[15039, 14934]","[13139, 16834]","[21457, 8517]","[11331, 18642]","[21554, 8420]","[18040, 11934]"
Hybrid,"[91, 29890]","[570, 29408]","[66, 29914]","[15043, 14932]","[0, 0]","[18146, 11829]","[17265, 12711]","[16296, 13680]","[18437, 11535]","[16680, 13297]","[16996, 12980]","[17943, 12035]","[29190, 792]","[15866, 14113]","[15074, 14898]","[19483, 10495]","[16697, 13277]","[16274, 13698]","[21607, 8368]","[27146, 2832]","[16798, 13176]","[20715, 9263]","[17182, 12793]","[16049, 13923]","[19044, 10929]","[18657, 11317]","[14799, 15179]","[18482, 11493]","[17928, 12045]"
TeamBest,"[28845, 1129]","[28854, 1121]","[27543, 2430]","[13154, 16818]","[11829, 18146]","[0, 0]","[14756, 15219]","[12167, 17808]","[13545, 16435]","[16369, 13608]","[10938, 19037]","[17442, 12533]","[29626, 368]","[10640, 19334]","[11978, 17995]","[14214, 15760]","[13065, 16913]","[12260, 17716]","[22261, 7719]","[23134, 6842]","[13588, 16385]","[21157, 8816]","[11480, 18495]","[11288, 18687]","[12331, 17642]","[17718, 12256]","[11076, 18900]","[17013, 12963]","[14729, 15244]"
TeamLambda,"[25673, 4299]","[24192, 5781]","[26473, 3504]","[14479, 15499]","[12711, 17265]","[15219, 14756]","[0, 0]","[10847, 19128]","[11084, 18888]","[17906, 12069]","[10546, 19433]","[15888, 14088]","[29780, 217]","[11735, 18243]","[12696, 17277]","[14217, 15758]","[11549, 18425]","[11428, 18545]","[19704, 10274]","[20684, 9293]","[12900, 17075]","[19656, 10318]","[11464, 18510]","[11785, 18188]","[9872, 20102]","[17136, 12838]","[8796, 21176]","[15246, 14729]","[14120, 15853]"
WXMG3d,"[8755, 21218]","[10476, 19497]","[10590, 19383]","[15479, 14497]","[13680, 16296]","[17808, 12167]","[19128, 10847]","[0, 0]","[16611, 13369]","[16708, 13269]","[15028, 14946]","[19090, 10885]","[29627, 368]","[15039, 14936]","[14468, 15509]","[18221, 11757]","[16615, 13360]","[16954, 13021]","[20784, 9192]","[26369, 3607]","[14883, 15091]","[20816, 9159]","[15631, 14347]","[14054, 15923]","[17621, 12353]","[18816, 11157]","[13819, 16157]","[18193, 11780]","[18991, 10985]"
LiOMegaPlay,"[24741, 5232]","[23436, 6535]","[23927, 6042]","[13161, 16811]","[11535, 18437]","[16435, 13545]","[18888, 11084]","[13369, 16611]","[0, 0]","[14534, 15441]","[15026, 14953]","[11452, 18525]","[29163, 824]","[11657, 18323]","[11643, 18332]","[17695, 12280]","[15256, 14718]","[13176, 16795]","[22415, 7563]","[25540, 4436]","[14401, 15575]","[20449, 9531]","[12835, 17139]","[12901, 17078]","[21312, 8659]","[12070, 17901]","[11853, 18121]","[11873, 18104]","[17751, 12224]"
WrthGr3d,"[219, 29758]","[54, 29928]","[58, 29924]","[9422, 20553]","[13297, 16680]","[13608, 16369]","[12069, 17906]","[13269, 16708]","[15441, 14534]","[0, 0]","[15305, 14670]","[13858, 16114]","[29691, 299]","[14486, 15491]","[14236, 15738]","[15614, 14363]","[14571, 15406]","[13884, 16090]","[22142, 7831]","[24159, 5816]","[13303, 16673]","[21263, 8711]","[14338, 15636]","[12396, 17578]","[16961, 13014]","[13797, 16175]","[12773, 17203]","[14840, 15134]","[16686, 13290]"
