Agent Name,Wins,Losses,Performance
Epsilon--Sidekick#74,17.0,43.0,9.0
Sidekick-53-33,17.0,40.0,9.0
U1-18,17.0,45.0,9.0
Agent27-88,17.0,43.0,9.0
Epsilon-97,17.0,43.0,9.0
Epsilon-92,17.0,45.0,9.0
XYZ-4-32,17.0,45.0,9.0
Sideki-Sideki#44,17.0,45.0,9.0
Sidekick-52-7,17.0,47.0,9.0
Sidekick-8-53,17.0,45.0,9.0
Sidekick-8-73,17.0,47.0,9.0
Sidekick-Sidekick#84,17.0,49.0,9.0
Epsilon-37,17.0,51.0,9.0
Epsilon-58,17.0,51.0,9.0
Sidekick-47,17.0,53.0,9.0
Sidekick-45,17.0,53.0,9.0
Ultra-96-84-14,17.0,49.0,9.0
Epsilon-97-4,17.0,51.0,9.0
Ultra-55-51-63,17.0,51.0,9.0
i-i#48,17.0,53.0,9.0
Sidekick-53-22,17.0,53.0,9.0
Sidekick-52-66,17.0,53.0,9.0
Sidekick-1,17.0,44.0,9.0
Sidekick-8,17.0,55.0,9.0
Sidekick-33,17.0,46.0,9.0
Sidekick-8-48,17.0,42.0,9.0
Sidekick-37,17.0,44.0,9.0
RaisePlayer-89-34-30,17.0,44.0,9.0
Sidekick-30,17.0,42.0,9.0
Sidekick-14,17.0,40.0,9.0
RaisePlayer-89-34-30-97,17.0,42.0,9.0
Sidekick-Sidekick#97,17.0,42.0,9.0
Sidekick-8-61,17.0,44.0,9.0
Ultra-96-84-23,17.0,43.0,9.0
