Agent Name,Wins,Losses,Perf
Agent27-14,0,0,0
Sidekick-52,0,0,0
Agent27-88,0,0,0
Sidekick-53,0,0,0
Sidekick-27,0,0,0
Sidekick-45,0,0,0
Epsilon-58,0,0,0
Epsilon-97,0,0,0
Agent27-88,0,0,0
Sidekick-8-59,0,0,0
Sidekick-8-61,0,0,0
Sidekick-57-85,0,0,0
Sidekick-52-89,0,0,0
Sidekick-52-39,0,0,0
Epsilon-69,0,0,0
Epsilon-62,0,0,0
Agent27-88-97,0,0,0
Sidekick-53-99,0,0,0
Sidekick-53-33,0,0,0
Epsilon-37-44,0,0,0
Epsilon-37-90,0,0,0
Sidekick-8,0,0,0
Epsilon-65,0,0,0
Agent27-14-75,0,0,0
Agent27-14-55,0,0,0
Sidekick-90,0,0,0
Sidekick-47,0,0,0
Sidekick-14,0,0,0
Sidekick-41,0,0,0
Ultra-96-84-14,0,0,0
Ultra-96-84-23,0,0,0
Agent27-88-79,0,0,0
Sidekick-52-7,0,0,0
Sidekick-52-66,0,0,0
Epsilon-97-59,0,0,0
Epsilon-97-4,0,0,0
Epsilon-37-10,0,0,0
Epsilon-37-9,0,0,0
Epsilon-92-34,0,0,0
Epsilon-92-23,0,0,0
Sidekick-37,0,0,0
Sidekick-30,0,0,0
Sidekick-8-48,0,0,0
Sidekick-8-73,0,0,0
Sidekick-1,0,0,0
Sidekick-33,0,0,0
RaisePlayer-89-34-30-1,0,0,0
RaisePlayer-89-34-30-97,0,0,0
Sidekick-78,0,0,0
Sidekick-43,0,0,0
Sidekick-57-43,0,0,0
Sidekick-57-7,0,0,0
Sidekick-53-60,0,0,0
Sidekick-53-22,0,0,0
Sidekick-21,0,0,0
Sidekick-93,0,0,0
Sidekick-8-9,0,0,0
Sidekick-8-53,0,0,0
Sidekick-52-5,0,0,0
Sidekick-52-38,0,0,0
Agent27-88-40,0,0,0
Epsilon-58-55,0,0,0
Epsilon-58-86,0,0,0
Epsilon-69-98,0,0,0
Epsilon-69-37,0,0,0
Epsilon,0,0,0
Sidekick,0,0,0
RaisePlayer-89-34-30,0,0,0
U1-18,0,0,0
Ultra-96-7-13,0,0,0
Ultra-55-51-63,0,0,0
Ultra-55-51-81,0,0,0
XYZ-4-32,0,0,0
Epsilon-37,0,0,0
Sidekick-57,0,0,0
Epsilon-92,0,0,0
